rank,thai_word,syllable_count,variant_count,category,difficulty,decomposition,rtgs_romanization,variants
7135,ภูมิคุ้มกัน,4,100,compound,hard,[ph/uu/] | [m/i/] | [kh/u/m] | [k/a/n],phumikhumkan,phoomikhoomgahn; phoomikhoomgan; phoomikhoomgun; phoomikhoomkahn; phoomikhoomkan; phoomikhoomkun; phoomikhumgahn; phoomikhumgan; phoomikhumgun; phoomikhumkahn; phoomikhumkan; phoomikhumkun; phoomikoomgahn; phoomikoomgan; phoomikoomgun; phoomikoomkahn; phoomikoomkan; phoomikoomkun; phoomikumgahn; phoomikumgan; phoomikumgun; phoomikumkahn; phoomikumkan; phoomikumkun; phoumikhoomgahn; phoumikhoomgan; phoumikhoomgun; phoumikhoomkahn; phoumikhoomkan; phoumikhoomkun; phoumikhumgahn; phoumikhumgan; phoumikhumgun; phoumikhumkahn; phoumikhumkan; phoumikhumkun; phoumikoomgahn; phoumikoomgan; phoumikoomgun; phoumikoomkahn; phoumikoomkan; phoumikoomkun; phoumikumgahn; phoumikumgan; phoumikumgun; phoumikumkahn; phoumikumkan; phoumikumkun; phumikhoomgahn; phumikhoomgan
7144,พริกป่น,2,16,variant,medium,[phr/i/k] | [p/o/n],phrikpon,phrigbpohn; phrigbpon; phrigpohn; phrigpon; phrikbpohn; phrikbpon; phrikpohn; phrikpon; prigbpohn; prigbpon; prigpohn; prigpon; prikbpohn; prikbpon; prikpohn; prikpon
7230,ยุทธวิธี,4,100,compound,hard,[j/u/t] | [th/a/] | [w/i/] | [th/ii/],yutthawithi,yoodtahvitee; yoodtahvithee; yoodtahvithi; yoodtahvithii; yoodtahviti; yoodtahvitii; yoodtahwitee; yoodtahwithee; yoodtahwithi; yoodtahwithii; yoodtahwiti; yoodtahwitii; yoodtavitee; yoodtavithee; yoodtavithi; yoodtavithii; yoodtaviti; yoodtavitii; yoodtawitee; yoodtawithee; yoodtawithi; yoodtawithii; yoodtawiti; yoodtawitii; yoodthahvitee; yoodthahvithee; yoodthahvithi; yoodthahvithii; yoodthahviti; yoodthahvitii; yoodthahwitee; yoodthahwithee; yoodthahwithi; yoodthahwithii; yoodthahwiti; yoodthahwitii; yoodthavitee; yoodthavithee; yoodthavithi; yoodthavithii; yoodthaviti; yoodthavitii; yoodthawitee; yoodthawithee; yoodthawithi; yoodthawithii; yoodthawiti; yoodthawitii; yoottahvitee; yoottahvithee
7265,เชือก,1,12,variant,medium,[ch/UUa/k],chueak,cheuag; cheuak; chueaag; chueaak; chueag; chueak; sheuag; sheuak; shueaag; shueaak; shueag; shueak
7279,ปอง,1,8,common,easy,[p/OO/N],pong,bpawng; bpohng; bpong; bporng; pawng; pohng; pong; porng
7322,โทษประหารชีวิต,5,100,compound,hard,[th/oo/t] | [pr/a/] | [h/aa/n] | [ch/ii/] | [w/i/t],thotprahanchiwit,thodprahaancheevid; thodprahaancheevit; thodprahaancheewid; thodprahaancheewit; thodprahaanchiivid; thodprahaanchiivit; thodprahaanchiiwid; thodprahaanchiiwit; thodprahaanchivid; thodprahaanchivit; thodprahaanchiwid; thodprahaanchiwit; thodprahaansheevid; thodprahaansheevit; thodprahaansheewid; thodprahaansheewit; thodprahaanshiivid; thodprahaanshiivit; thodprahaanshiiwid; thodprahaanshiiwit; thodprahaanshivid; thodprahaanshivit; thodprahaanshiwid; thodprahaanshiwit; thodprahahncheevid; thodprahahncheevit; thodprahahncheewid; thodprahahncheewit; thodprahahnchiivid; thodprahahnchiivit; thodprahahnchiiwid; thodprahahnchiiwit; thodprahahnchivid; thodprahahnchivit; thodprahahnchiwid; thodprahahnchiwit; thodprahahnsheevid; thodprahahnsheevit; thodprahahnsheewid; thodprahahnsheewit; thodprahahnshiivid; thodprahahnshiivit; thodprahahnshiiwid; thodprahahnshiiwit; thodprahahnshivid; thodprahahnshivit; thodprahahnshiwid; thodprahahnshiwit; thodprahancheevid; thodprahancheevit
7352,ภิวัฒน์,2,24,variant,medium,[ph/i/] | [w/a/t],phiwat,phivad; phivahd; phivaht; phivat; phivud; phivut; phiwad; phiwahd; phiwaht; phiwat; phiwud; phiwut; pivad; pivahd; pivaht; pivat; pivud; pivut; piwad; piwahd; piwaht; piwat; piwud; piwut
7359,ที่รวม,2,12,variant,medium,[th/ii/] | [r/ua/m],thiruam,teeruaam; teeruam; theeruaam; theeruam; thiiruaam; thiiruam; thiruaam; thiruam; tiiruaam; tiiruam; tiruaam; tiruam
7369,บ่ม,1,2,common,easy,[b/o/m],bom,bohm; bom
7378,การร้องเรียน,3,96,compound,medium,[k/aa/n] | [r/OO/N] | [r/iia/n],kanrongrian,gaanrawngrean; gaanrawngrian; gaanrawngriian; gaanrohngrean; gaanrohngrian; gaanrohngriian; gaanrongrean; gaanrongrian; gaanrongriian; gaanrorngrean; gaanrorngrian; gaanrorngriian; gahnrawngrean; gahnrawngrian; gahnrawngriian; gahnrohngrean; gahnrohngrian; gahnrohngriian; gahnrongrean; gahnrongrian; gahnrongriian; gahnrorngrean; gahnrorngrian; gahnrorngriian; ganrawngrean; ganrawngrian; ganrawngriian; ganrohngrean; ganrohngrian; ganrohngriian; ganrongrean; ganrongrian; ganrongriian; ganrorngrean; ganrorngrian; ganrorngriian; garnrawngrean; garnrawngrian; garnrawngriian; garnrohngrean; garnrohngrian; garnrohngriian; garnrongrean; garnrongrian; garnrongriian; garnrorngrean; garnrorngrian; garnrorngriian; kaanrawngrean; kaanrawngrian
7410,สตาฟ,2,32,variant,medium,[s/a/] | [t/aa/p],satap,sadtaab; sadtaap; sadtab; sadtahb; sadtahp; sadtap; sadtarb; sadtarp; sahdtaab; sahdtaap; sahdtab; sahdtahb; sahdtahp; sahdtap; sahdtarb; sahdtarp; sahtaab; sahtaap; sahtab; sahtahb; sahtahp; sahtap; sahtarb; sahtarp; sataab; sataap; satab; satahb; satahp; satap; satarb; satarp
7411,ในกรณีนี้,5,100,compound,hard,[n/aj/] | [k/OO/] | [r/a/] | [n/ii/] | [n/ii/],naikoranini,naaigawrahneenee; naaigawrahneeni; naaigawrahneenii; naaigawrahniinee; naaigawrahniini; naaigawrahniinii; naaigawrahninee; naaigawrahnini; naaigawrahninii; naaigawraneenee; naaigawraneeni; naaigawraneenii; naaigawraniinee; naaigawraniini; naaigawraniinii; naaigawraninee; naaigawranini; naaigawraninii; naaigohrahneenee; naaigohrahneeni; naaigohrahneenii; naaigohrahniinee; naaigohrahniini; naaigohrahniinii; naaigohrahninee; naaigohrahnini; naaigohrahninii; naaigohraneenee; naaigohraneeni; naaigohraneenii; naaigohraniinee; naaigohraniini; naaigohraniinii; naaigohraninee; naaigohranini; naaigohraninii; naaigorahneenee; naaigorahneeni; naaigorahneenii; naaigorahniinee; naaigorahniini; naaigorahniinii; naaigorahninee; naaigorahnini; naaigorahninii; naaigoraneenee; naaigoraneeni; naaigoraneenii; naaigoraniinee; naaigoraniini
7422,อิอิอิ,3,1,compound,medium,[?/i/] | [?/i/] | [?/i/],i-i-i,iii
7485,หยัง,1,3,common,easy,[j/a/N],yang,yahng; yang; yung
7503,ชนะเลิศ,3,80,compound,medium,[ch/a/] | [n/a/] | [l/@@/t],chanaloet,chahnahleod; chahnahleot; chahnahlerd; chahnahlert; chahnahloed; chahnahloet; chahnahluhd; chahnahluht; chahnahlurd; chahnahlurt; chahnaleod; chahnaleot; chahnalerd; chahnalert; chahnaloed; chahnaloet; chahnaluhd; chahnaluht; chahnalurd; chahnalurt; chanahleod; chanahleot; chanahlerd; chanahlert; chanahloed; chanahloet; chanahluhd; chanahluht; chanahlurd; chanahlurt; chanaleod; chanaleot; chanalerd; chanalert; chanaloed; chanaloet; chanaluhd; chanaluht; chanalurd; chanalurt; shahnahleod; shahnahleot; shahnahlerd; shahnahlert; shahnahloed; shahnahloet; shahnahluhd; shahnahluht; shahnahlurd; shahnahlurt
7656,เฉพาะเรื่อง,3,72,compound,medium,[ch/a/] | [ph/O/] | [r/UUa/N],chaphorueang,chahphoareuang; chahphoarueaang; chahphoarueang; chahphoreuang; chahphorreuang; chahphorrueaang; chahphorrueang; chahphorueaang; chahphorueang; chahpoareuang; chahpoarueaang; chahpoarueang; chahporeuang; chahporreuang; chahporrueaang; chahporrueang; chahporueaang; chahporueang; chaphoareuang; chaphoarueaang; chaphoarueang; chaphoreuang; chaphorreuang; chaphorrueaang; chaphorrueang; chaphorueaang; chaphorueang; chapoareuang; chapoarueaang; chapoarueang; chaporeuang; chaporreuang; chaporrueaang; chaporrueang; chaporueaang; chaporueang; shahphoareuang; shahphoarueaang; shahphoarueang; shahphoreuang; shahphorreuang; shahphorrueaang; shahphorrueang; shahphorueaang; shahphorueang; shahpoareuang; shahpoarueaang; shahpoarueang; shahporeuang; shahporreuang
7692,สง่า,2,8,common,easy,[s/a/] | [N/aa/],sanga,sahnga; sahngaa; sahngah; sahngar; sanga; sangaa; sangah; sangar
7736,การอธิบาย,4,64,compound,hard,[k/aa/n] | [?/a/] | [th/i/] | [b/aa/j],kan-athibai,gaanahthibaai; gaanahthibai; gaanahtibaai; gaanahtibai; gaanathibaai; gaanathibai; gaanatibaai; gaanatibai; gahnahthibaai; gahnahthibai; gahnahtibaai; gahnahtibai; gahnathibaai; gahnathibai; gahnatibaai; gahnatibai; ganahthibaai; ganahthibai; ganahtibaai; ganahtibai; ganathibaai; ganathibai; ganatibaai; ganatibai; garnahthibaai; garnahthibai; garnahtibaai; garnahtibai; garnathibaai; garnathibai; garnatibaai; garnatibai; kaanahthibaai; kaanahthibai; kaanahtibaai; kaanahtibai; kaanathibaai; kaanathibai; kaanatibaai; kaanatibai; kahnahthibaai; kahnahthibai; kahnahtibaai; kahnahtibai; kahnathibaai; kahnathibai; kahnatibaai; kahnatibai; kanahthibaai; kanahthibai
7741,ความเหนียว,2,80,variant,medium,[khw/aa/m] | [nh/iiaw/],khwamniao,khwaamneao; khwaamneaw; khwaamnheao; khwaamnheaw; khwaamnhiao; khwaamnhiaw; khwaamnhiew; khwaamniao; khwaamniaw; khwaamniew; khwahmneao; khwahmneaw; khwahmnheao; khwahmnheaw; khwahmnhiao; khwahmnhiaw; khwahmnhiew; khwahmniao; khwahmniaw; khwahmniew; khwamneao; khwamneaw; khwamnheao; khwamnheaw; khwamnhiao; khwamnhiaw; khwamnhiew; khwamniao; khwamniaw; khwamniew; khwarmneao; khwarmneaw; khwarmnheao; khwarmnheaw; khwarmnhiao; khwarmnhiaw; khwarmnhiew; khwarmniao; khwarmniaw; khwarmniew; kwaamneao; kwaamneaw; kwaamnheao; kwaamnheaw; kwaamnhiao; kwaamnhiaw; kwaamnhiew; kwaamniao; kwaamniaw; kwaamniew
7753,คว้าแชมป์,2,32,variant,medium,[khw/aa/] | [ch/xx/m],khwachaem,khwaachaaem; khwaachaem; khwaashaaem; khwaashaem; khwachaaem; khwachaem; khwahchaaem; khwahchaem; khwahshaaem; khwahshaem; khwarchaaem; khwarchaem; khwarshaaem; khwarshaem; khwashaaem; khwashaem; kwaachaaem; kwaachaem; kwaashaaem; kwaashaem; kwachaaem; kwachaem; kwahchaaem; kwahchaem; kwahshaaem; kwahshaem; kwarchaaem; kwarchaem; kwarshaaem; kwarshaem; kwashaaem; kwashaem
7758,แขกรับเชิญ,3,100,compound,medium,[kh/xx/k] | [r/a/p] | [ch/@@/n],khaekrapchoen,kaaegrabcheon; kaaegrabchern; kaaegrabchoen; kaaegrabchuhn; kaaegrabchurn; kaaegrabsheon; kaaegrabshern; kaaegrabshoen; kaaegrabshuhn; kaaegrabshurn; kaaegrahbcheon; kaaegrahbchern; kaaegrahbchoen; kaaegrahbchuhn; kaaegrahbchurn; kaaegrahbsheon; kaaegrahbshern; kaaegrahbshoen; kaaegrahbshuhn; kaaegrahbshurn; kaaegrahpcheon; kaaegrahpchern; kaaegrahpchoen; kaaegrahpchuhn; kaaegrahpchurn; kaaegrahpsheon; kaaegrahpshern; kaaegrahpshoen; kaaegrahpshuhn; kaaegrahpshurn; kaaegrapcheon; kaaegrapchern; kaaegrapchoen; kaaegrapchuhn; kaaegrapchurn; kaaegrapsheon; kaaegrapshern; kaaegrapshoen; kaaegrapshuhn; kaaegrapshurn; kaaegrubcheon; kaaegrubchern; kaaegrubchoen; kaaegrubchuhn; kaaegrubchurn; kaaegrubsheon; kaaegrubshern; kaaegrubshoen; kaaegrubshuhn; kaaegrubshurn
7776,ซีดาน,2,12,variant,medium,[s/ii/] | [d/aa/n],sidan,seedaan; seedahn; seedan; seedarn; sidaan; sidahn; sidan; sidarn; siidaan; siidahn; siidan; siidarn
7814,แนวความคิด,3,100,compound,medium,[n/xx/w] | [khw/aa/m] | [kh/i/t],naeokhwamkhit,naaeokhwaamkhid; naaeokhwaamkhit; naaeokhwaamkid; naaeokhwaamkit; naaeokhwahmkhid; naaeokhwahmkhit; naaeokhwahmkid; naaeokhwahmkit; naaeokhwamkhid; naaeokhwamkhit; naaeokhwamkid; naaeokhwamkit; naaeokhwarmkhid; naaeokhwarmkhit; naaeokhwarmkid; naaeokhwarmkit; naaeokwaamkhid; naaeokwaamkhit; naaeokwaamkid; naaeokwaamkit; naaeokwahmkhid; naaeokwahmkhit; naaeokwahmkid; naaeokwahmkit; naaeokwamkhid; naaeokwamkhit; naaeokwamkid; naaeokwamkit; naaeokwarmkhid; naaeokwarmkhit; naaeokwarmkid; naaeokwarmkit; naaeukhwaamkhid; naaeukhwaamkhit; naaeukhwaamkid; naaeukhwaamkit; naaeukhwahmkhid; naaeukhwahmkhit; naaeukhwahmkid; naaeukhwahmkit; naaeukhwamkhid; naaeukhwamkhit; naaeukhwamkid; naaeukhwamkit; naaeukhwarmkhid; naaeukhwarmkhit; naaeukhwarmkid; naaeukhwarmkit; naaeukwaamkhid; naaeukwaamkhit
7882,แบล็ก,1,2,common,easy,[bl/x/k],blaek,blaeg; blaek
7918,อมร,2,8,common,easy,[?/a/] | [m/OO/n],amon,ahmawn; ahmohn; ahmon; ahmorn; amawn; amohn; amon; amorn
7925,นุ่มนิ่ม,2,2,common,easy,[n/u/m] | [n/i/m],numnim,noomnim; numnim
8000,แคปซูล,2,32,variant,medium,[kh/xx/p] | [s/uu/n],khaepsun,kaaebsoon; kaaebsoun; kaaebsun; kaaebsuun; kaaepsoon; kaaepsoun; kaaepsun; kaaepsuun; kaebsoon; kaebsoun; kaebsun; kaebsuun; kaepsoon; kaepsoun; kaepsun; kaepsuun; khaaebsoon; khaaebsoun; khaaebsun; khaaebsuun; khaaepsoon; khaaepsoun; khaaepsun; khaaepsuun; khaebsoon; khaebsoun; khaebsun; khaebsuun; khaepsoon; khaepsoun; khaepsun; khaepsuun
8116,ไช้,1,6,common,medium,[ch/aj/],chai,chaai; chai; chaii; shaai; shai; shaii
8196,ทันเวลา,3,100,compound,medium,[th/a/n] | [w/ee/] | [l/aa/],thanwela,tahnvaela; tahnvaelaa; tahnvaelah; tahnvaelar; tahnvayla; tahnvaylaa; tahnvaylah; tahnvaylar; tahnveela; tahnveelaa; tahnveelah; tahnveelar; tahnvehla; tahnvehlaa; tahnvehlah; tahnvehlar; tahnvela; tahnvelaa; tahnvelah; tahnvelar; tahnwaela; tahnwaelaa; tahnwaelah; tahnwaelar; tahnwayla; tahnwaylaa; tahnwaylah; tahnwaylar; tahnweela; tahnweelaa; tahnweelah; tahnweelar; tahnwehla; tahnwehlaa; tahnwehlah; tahnwehlar; tahnwela; tahnwelaa; tahnwelah; tahnwelar; tanvaela; tanvaelaa; tanvaelah; tanvaelar; tanvayla; tanvaylaa; tanvaylah; tanvaylar; tanveela; tanveelaa
8256,เป็นธรรมดา,4,96,compound,hard,[p/e/n] | [th/a/m] | [m/a/] | [d/aa/],penthammada,bpentahmmada; bpentahmmadaa; bpentahmmadah; bpentahmmadar; bpentahmmahda; bpentahmmahdaa; bpentahmmahdah; bpentahmmahdar; bpentammada; bpentammadaa; bpentammadah; bpentammadar; bpentammahda; bpentammahdaa; bpentammahdah; bpentammahdar; bpenthahmmada; bpenthahmmadaa; bpenthahmmadah; bpenthahmmadar; bpenthahmmahda; bpenthahmmahdaa; bpenthahmmahdah; bpenthahmmahdar; bpenthammada; bpenthammadaa; bpenthammadah; bpenthammadar; bpenthammahda; bpenthammahdaa; bpenthammahdah; bpenthammahdar; bpenthummada; bpenthummadaa; bpenthummadah; bpenthummadar; bpenthummahda; bpenthummahdaa; bpenthummahdah; bpenthummahdar; bpentummada; bpentummadaa; bpentummadah; bpentummadar; bpentummahda; bpentummahdaa; bpentummahdah; bpentummahdar; pentahmmada; pentahmmadaa
8260,ปณิธาน,3,32,compound,medium,[p/a/] | [n/i/] | [th/aa/n],panithan,bpahnitaan; bpahnitahn; bpahnitan; bpahnitarn; bpahnithaan; bpahnithahn; bpahnithan; bpahnitharn; bpanitaan; bpanitahn; bpanitan; bpanitarn; bpanithaan; bpanithahn; bpanithan; bpanitharn; pahnitaan; pahnitahn; pahnitan; pahnitarn; pahnithaan; pahnithahn; pahnithan; pahnitharn; panitaan; panitahn; panitan; panitarn; panithaan; panithahn; panithan; panitharn
8268,เปิดโปง,2,80,variant,medium,[p/@@/t] | [p/oo/N],poetpong,bpeodbpohng; bpeodbpong; bpeodpohng; bpeodpong; bpeotbpohng; bpeotbpong; bpeotpohng; bpeotpong; bperdbpohng; bperdbpong; bperdpohng; bperdpong; bpertbpohng; bpertbpong; bpertpohng; bpertpong; bpoedbpohng; bpoedbpong; bpoedpohng; bpoedpong; bpoetbpohng; bpoetbpong; bpoetpohng; bpoetpong; bpuhdbpohng; bpuhdbpong; bpuhdpohng; bpuhdpong; bpuhtbpohng; bpuhtbpong; bpuhtpohng; bpuhtpong; bpurdbpohng; bpurdbpong; bpurdpohng; bpurdpong; bpurtbpohng; bpurtbpong; bpurtpohng; bpurtpong; peodbpohng; peodbpong; peodpohng; peodpong; peotbpohng; peotbpong; peotpohng; peotpong; perdbpohng; perdbpong
8302,ไฮลักซ์,2,18,variant,medium,[h/aj/] | [l/a/k],hailak,haailag; haailahg; haailahk; haailak; haailug; haailuk; haiilag; haiilahg; haiilahk; haiilak; haiilug; haiiluk; hailag; hailahg; hailahk; hailak; hailug; hailuk
8332,ราคาขาย,3,100,compound,medium,[r/aa/] | [kh/aa/] | [kh/aa/j],rakhakhai,raakaakaai; raakaakai; raakaakhaai; raakaakhai; raakahkaai; raakahkai; raakahkhaai; raakahkhai; raakakaai; raakakai; raakakhaai; raakakhai; raakarkaai; raakarkai; raakarkhaai; raakarkhai; raakhaakaai; raakhaakai; raakhaakhaai; raakhaakhai; raakhahkaai; raakhahkai; raakhahkhaai; raakhahkhai; raakhakaai; raakhakai; raakhakhaai; raakhakhai; raakharkaai; raakharkai; raakharkhaai; raakharkhai; rahkaakaai; rahkaakai; rahkaakhaai; rahkaakhai; rahkahkaai; rahkahkai; rahkahkhaai; rahkahkhai; rahkakaai; rahkakai; rahkakhaai; rahkakhai; rahkarkaai; rahkarkai; rahkarkhaai; rahkarkhai; rahkhaakaai; rahkhaakai
8402,เสียที่,2,18,variant,medium,[s/iia/] | [th/ii/],siathi,seatee; seathee; seathi; seathii; seati; seatii; siatee; siathee; siathi; siathii; siati; siatii; siiatee; siiathee; siiathi; siiathii; siiati; siiatii
8460,เฮา,1,6,common,easy,[h/aw/],hao,haao; hao; haow; hau; haw; how
8484,วาร์,1,8,common,easy,[w/aa/],wa,va; vaa; vah; var; wa; waa; wah; war
8584,ญ่า,1,4,common,easy,[j/aa/],ya,ya; yaa; yah; yar
8596,ครบกำหนด,3,100,compound,medium,[khr/o/p] | [k/a/m] | [nh/o/t],khropkamnot,khrobgahmnhod; khrobgahmnhohd; khrobgahmnhoht; khrobgahmnhot; khrobgahmnod; khrobgahmnohd; khrobgahmnoht; khrobgahmnot; khrobgamnhod; khrobgamnhohd; khrobgamnhoht; khrobgamnhot; khrobgamnod; khrobgamnohd; khrobgamnoht; khrobgamnot; khrobgumnhod; khrobgumnhohd; khrobgumnhoht; khrobgumnhot; khrobgumnod; khrobgumnohd; khrobgumnoht; khrobgumnot; khrobkahmnhod; khrobkahmnhohd; khrobkahmnhoht; khrobkahmnhot; khrobkahmnod; khrobkahmnohd; khrobkahmnoht; khrobkahmnot; khrobkamnhod; khrobkamnhohd; khrobkamnhoht; khrobkamnhot; khrobkamnod; khrobkamnohd; khrobkamnoht; khrobkamnot; khrobkumnhod; khrobkumnhohd; khrobkumnhoht; khrobkumnhot; khrobkumnod; khrobkumnohd; khrobkumnoht; khrobkumnot; khrohbgahmnhod; khrohbgahmnhohd
8675,ญาณ,1,4,common,easy,[j/aa/n],yan,yaan; yahn; yan; yarn
8710,อาหารเจ,3,100,compound,medium,[?/aa/] | [h/aa/n] | [c/ee/],ahanche,aahaanchae; aahaanchay; aahaanche; aahaanchee; aahaancheh; aahaanjae; aahaanjay; aahaanje; aahaanjee; aahaanjeh; aahahnchae; aahahnchay; aahahnche; aahahnchee; aahahncheh; aahahnjae; aahahnjay; aahahnje; aahahnjee; aahahnjeh; aahanchae; aahanchay; aahanche; aahanchee; aahancheh; aahanjae; aahanjay; aahanje; aahanjee; aahanjeh; aaharnchae; aaharnchay; aaharnche; aaharnchee; aaharncheh; aaharnjae; aaharnjay; aaharnje; aaharnjee; aaharnjeh; ahaanchae; ahaanchay; ahaanche; ahaanchee; ahaancheh; ahaanjae; ahaanjay; ahaanje; ahaanjee; ahaanjeh
8735,เรียกคืน,2,48,variant,medium,[r/iia/k] | [kh/UU/n],riakkhuen,reagkeun; reagkheun; reagkhueen; reagkhuen; reagkhuhn; reagkueen; reagkuen; reagkuhn; reakkeun; reakkheun; reakkhueen; reakkhuen; reakkhuhn; reakkueen; reakkuen; reakkuhn; riagkeun; riagkheun; riagkhueen; riagkhuen; riagkhuhn; riagkueen; riagkuen; riagkuhn; riakkeun; riakkheun; riakkhueen; riakkhuen; riakkhuhn; riakkueen; riakkuen; riakkuhn; riiagkeun; riiagkheun; riiagkhueen; riiagkhuen; riiagkhuhn; riiagkueen; riiagkuen; riiagkuhn; riiakkeun; riiakkheun; riiakkhueen; riiakkhuen; riiakkhuhn; riiakkueen; riiakkuen; riiakkuhn
8738,มัค,1,6,common,easy,[m/a/k],mak,mag; mahg; mahk; mak; mug; muk
8788,ตอนดึก,2,48,variant,medium,[t/OO/n] | [d/U/k],tonduek,dtawndeug; dtawndeuk; dtawndueg; dtawnduek; dtawnduhg; dtawnduhk; dtohndeug; dtohndeuk; dtohndueg; dtohnduek; dtohnduhg; dtohnduhk; dtondeug; dtondeuk; dtondueg; dtonduek; dtonduhg; dtonduhk; dtorndeug; dtorndeuk; dtorndueg; dtornduek; dtornduhg; dtornduhk; tawndeug; tawndeuk; tawndueg; tawnduek; tawnduhg; tawnduhk; tohndeug; tohndeuk; tohndueg; tohnduek; tohnduhg; tohnduhk; tondeug; tondeuk; tondueg; tonduek; tonduhg; tonduhk; torndeug; torndeuk; torndueg; tornduek; tornduhg; tornduhk
8885,เจ้าที่,2,72,variant,medium,[c/aa/w] | [th/ii/],chaothi,chaaotee; chaaothee; chaaothi; chaaothii; chaaoti; chaaotii; chaautee; chaauthee; chaauthi; chaauthii; chaauti; chaautii; chaawtee; chaawthee; chaawthi; chaawthii; chaawti; chaawtii; chaotee; chaothee; chaothi; chaothii; chaoti; chaotii; chautee; chauthee; chauthi; chauthii; chauti; chautii; chawtee; chawthee; chawthi; chawthii; chawti; chawtii; jaaotee; jaaothee; jaaothi; jaaothii; jaaoti; jaaotii; jaautee; jaauthee; jaauthi; jaauthii; jaauti; jaautii; jaawtee; jaawthee
8888,พระราชบัญญัติประกอบรัฐธรรมนูญ,12,100,compound,hard,[phr/a/] | [r/aa/t] | [ch/a/] | [b/a/n] | [j/a/t] | [pr/a/] | [k/OO/p] | [r/a/t] | [th/a/] | [th/a/m] | [m/a/] | [n/uu/n],phraratchabanyatprakopratthathammanun,phrahraadchabahnyadpragawbradtahtahmmahnoon; phrahraadchabahnyadpragawbradtahtahmmahnoun; phrahraadchabahnyadpragawbradtahtahmmahnun; phrahraadchabahnyadpragawbradtahtahmmahnuun; phrahraadchabahnyadpragawbradtahtahmmanoon; phrahraadchabahnyadpragawbradtahtahmmanoun; phrahraadchabahnyadpragawbradtahtahmmanun; phrahraadchabahnyadpragawbradtahtahmmanuun; phrahraadchabahnyadpragawbradtahtammahnoon; phrahraadchabahnyadpragawbradtahtammahnoun; phrahraadchabahnyadpragawbradtahtammahnun; phrahraadchabahnyadpragawbradtahtammahnuun; phrahraadchabahnyadpragawbradtahtammanoon; phrahraadchabahnyadpragawbradtahtammanoun; phrahraadchabahnyadpragawbradtahtammanun; phrahraadchabahnyadpragawbradtahtammanuun; phrahraadchabahnyadpragawbradtahthahmmahnoon; phrahraadchabahnyadpragawbradtahthahmmahnoun; phrahraadchabahnyadpragawbradtahthahmmahnun; phrahraadchabahnyadpragawbradtahthahmmahnuun; phrahraadchabahnyadpragawbradtahthahmmanoon; phrahraadchabahnyadpragawbradtahthahmmanoun; phrahraadchabahnyadpragawbradtahthahmmanun; phrahraadchabahnyadpragawbradtahthahmmanuun; phrahraadchabahnyadpragawbradtahthammahnoon; phrahraadchabahnyadpragawbradtahthammahnoun; phrahraadchabahnyadpragawbradtahthammahnun; phrahraadchabahnyadpragawbradtahthammahnuun; phrahraadchabahnyadpragawbradtahthammanoon; phrahraadchabahnyadpragawbradtahthammanoun; phrahraadchabahnyadpragawbradtahthammanun; phrahraadchabahnyadpragawbradtahthammanuun; phrahraadchabahnyadpragawbradtahthummahnoon; phrahraadchabahnyadpragawbradtahthummahnoun; phrahraadchabahnyadpragawbradtahthummahnun; phrahraadchabahnyadpragawbradtahthummahnuun; phrahraadchabahnyadpragawbradtahthummanoon; phrahraadchabahnyadpragawbradtahthummanoun; phrahraadchabahnyadpragawbradtahthummanun; phrahraadchabahnyadpragawbradtahthummanuun; phrahraadchabahnyadpragawbradtahtummahnoon; phrahraadchabahnyadpragawbradtahtummahnoun; phrahraadchabahnyadpragawbradtahtummahnun; phrahraadchabahnyadpragawbradtahtummahnuun; phrahraadchabahnyadpragawbradtahtummanoon; phrahraadchabahnyadpragawbradtahtummanoun; phrahraadchabahnyadpragawbradtahtummanun; phrahraadchabahnyadpragawbradtahtummanuun; phrahraadchabahnyadpragawbradtatahmmahnoon; phrahraadchabahnyadpragawbradtatahmmahnoun
8995,การตอบโต้,3,100,compound,medium,[k/aa/n] | [t/OO/p] | [t/oo/],kantopto,gaandtawbdto; gaandtawbdtoh; gaandtawbto; gaandtawbtoh; gaandtawpdto; gaandtawpdtoh; gaandtawpto; gaandtawptoh; gaandtobdto; gaandtobdtoh; gaandtobto; gaandtobtoh; gaandtohbdto; gaandtohbdtoh; gaandtohbto; gaandtohbtoh; gaandtohpdto; gaandtohpdtoh; gaandtohpto; gaandtohptoh; gaandtopdto; gaandtopdtoh; gaandtopto; gaandtoptoh; gaandtorbdto; gaandtorbdtoh; gaandtorbto; gaandtorbtoh; gaandtorpdto; gaandtorpdtoh; gaandtorpto; gaandtorptoh; gaantawbdto; gaantawbdtoh; gaantawbto; gaantawbtoh; gaantawpdto; gaantawpdtoh; gaantawpto; gaantawptoh; gaantobdto; gaantobdtoh; gaantobto; gaantobtoh; gaantohbdto; gaantohbdtoh; gaantohbto; gaantohbtoh; gaantohpdto; gaantohpdtoh
9030,ฮับ,1,6,common,easy,[h/a/p],hap,hab; hahb; hahp; hap; hub; hup
9054,ได้เปรียบ,2,12,variant,medium,[d/aa/j] | [pr/iia/p],daipriap,daaipreab; daaipreap; daaipriab; daaipriap; daaipriiab; daaipriiap; daipreab; daipreap; daipriab; daipriap; daipriiab; daipriiap
